"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.901021000E-2,7.605361938E-2,-1.697559357E-1,-1.864905357E-1,2.634007415E-1
2.700581600E-2,2.340555191E-2,-1.219673157E-1,-1.983652115E-1,2.340354740E-1
3.497090400E-2,-3.750705719E-2,-9.371519089E-2,-2.334113121E-1,2.543032775E-1
4.296650900E-2,-1.166510582E-2,-9.581708908E-2,-2.271170616E-1,2.467775292E-1
5.096211500E-2,6.257987022E-2,-1.342172623E-1,-1.551952362E-1,2.145135776E-1
5.892720300E-2,1.763846874E-1,-1.883349419E-1,-1.072134972E-1,2.794214420E-1
6.692280800E-2,2.848961353E-1,-2.015933990E-1,-5.659580231E-2,3.535658232E-1
7.485737800E-2,3.122570515E-1,-2.173933983E-1,6.906890869E-2,3.866973881E-1
8.288350100E-2,3.178629875E-1,-2.575306892E-1,2.735128403E-1,4.921058916E-1
9.087910700E-2,4.231777191E-1,-2.670154572E-1,4.634346962E-1,6.820178546E-1
9.881367700E-2,5.123403072E-1,-2.417745590E-1,5.764832497E-1,8.082576724E-1
1.068092830E-1,5.526421070E-1,-2.135119438E-1,6.235833168E-1,8.601492903E-1
1.148048880E-1,4.909284115E-1,-1.800603867E-1,5.408182144E-1,7.522744108E-1
1.227699760E-1,3.945713043E-1,-1.491546631E-1,3.725476265E-1,5.627835834E-1
1.307350640E-1,2.782261372E-1,-1.427097321E-1,2.971072197E-1,4.313334569E-1
1.387001520E-1,2.646362782E-1,-1.096048355E-1,2.744102478E-1,3.966693381E-1
1.466957570E-1,2.135331631E-1,-1.141943932E-1,1.552276611E-1,2.876324007E-1
1.546608450E-1,2.053306103E-1,-1.238551140E-1,-8.772373199E-3,2.399535441E-1
1.626869680E-1,2.604470253E-1,-1.132149696E-1,-2.293720245E-1,3.650504184E-1
1.706215390E-1,2.023794651E-1,-1.530737877E-1,-4.372353554E-1,5.055331724E-1
1.785866260E-1,9.937691689E-2,-2.036151886E-1,-5.885286331E-1,6.306352897E-1
1.865822320E-1,-2.145290375E-3,-2.598958015E-1,-7.599921227E-1,8.032051148E-1
1.946083550E-1,-4.055809975E-2,-3.123631477E-1,-7.810196877E-1,8.421445529E-1
2.025734430E-1,-9.272575378E-3,-3.765816689E-1,-7.202839851E-1,8.128399309E-1
2.105995660E-1,8.168578148E-2,-4.180593491E-1,-6.301827431E-1,7.606421471E-1
2.185646540E-1,1.195721626E-1,-4.423480034E-1,-4.502081871E-1,6.423835847E-1
2.265602590E-1,6.117415428E-2,-4.600520134E-1,-2.388796806E-1,5.219709130E-1
2.345558650E-1,-2.151560783E-2,-4.323530197E-1,-1.049432755E-1,4.454269257E-1
2.425209530E-1,-7.891678810E-2,-3.924436569E-1,6.073570251E-2,4.048811046E-1
2.505470760E-1,-1.533541679E-1,-3.708519936E-1,1.746940613E-1,4.376833524E-1
2.585426810E-1,-1.031470299E-1,-3.405461311E-1,2.199406624E-1,4.183119317E-1
2.665077690E-1,1.706528664E-2,-2.947092056E-1,1.345310211E-1,3.244122925E-1
